Id,NameHCR,RSSDHCR,Excl_Specialty,Excl_Foreign,Excl_Nocore,Excl_Noloans,Excl_Credit,CERT,NameFull,Address,City,Stalp,Zip,Stcnty,Year,Callym,CB,Asset,HCAsset,Size,ForAsset,LoanToAsset,CoreRatio,Max_Deposits,Office_Count,Unique_Metros,State_Count,Business_Line,Meets_LTA,Meets_Core,Meets_Deposits,Meets_Offices,Meets_LrgMSA,Meets_States,Run_Date
35276,FREEDOM BANCSHARES OF S MO INC,0003216754,0,0,0,0,0,35276,FREEDOM BANK OF SOUTHERN MISSOURI,97 S. MAIN,CASSVILLE,MO,65625,29009,2021,202112,1,"610,055","610,055",S,,61.08%,89.24%,158781,7,0,1,Ag Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35278,CAPITAL BCORP INC,0002808590,0,0,0,0,0,35278,"CAPITAL BANK, NATIONAL ASSOCIATION",2275 RESEARCH BLVD.,ROCKVILLE,MD,20850,24031,2021,202112,0,"2,014,131","2,014,131",L,,78.60%,89.28%,1412853,5,2,4,Commercial Real Estate Lending Specialization,1,1,1,1,1,0,20220310
35286,CORNERSTONE FINANCIAL CORP,0003831513,0,0,0,0,0,35286,CORNERSTONE BANK,253 W. MAIN ST.,MOORESTOWN,NJ,08057,34005,2021,202112,1,"325,590","325,590",S,,56.39%,89.73%,82204,6,1,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35292,FIRST FINANCIAL BANCSHARES INC,0003385137,0,0,0,0,0,35292,GREAT AMERICAN BANK,888A NEW HAMPSHIRE,LAWRENCE,KS,66044,20045,2021,202112,1,"276,999","276,999",S,,73.42%,81.96%,62185,5,1,2,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35295,SOUTHERN FIRST BANCSHARES INC,0002849799,0,0,0,0,0,35295,SOUTHERN FIRST BANK,"100 VERDAE BLVD, # 100",GREENVILLE,SC,29607,45045,2021,202112,0,"2,925,939","2,925,939",L,,84.52%,88.23%,730110,11,6,3,Multi Specialty Lender,1,1,1,1,0,1,20220310
35303,OLD MISSION BCORP INC,0002839044,0,0,0,0,0,35303,OLD MISSION BANK,2701 1-75 BUSINESS SPUR,SAULT SAINTE MAR,MI,49783,26033,2021,202112,1,"137,960","137,960",S,,31.83%,86.91%,93063,2,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35304,RESERVE FINL ASSOCIATES LLC,0003488234,0,0,0,0,0,35304,FLORIDA BUSINESS BANK,340 N. HARBOR CITY BLVD.,MELBOURNE,FL,32935,12009,2021,202112,1,"189,062","189,062",S,,64.27%,87.98%,166386,1,1,1,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35314,ALAMERICA BANCCORP INC,0003047583,0,0,0,0,0,35314,ALAMERICA BANK,2170 HIGHLAND AVE.,BIRMINGHAM,AL,35205,01073,2021,202112,1,"16,036","16,036",S,,43.48%,84.41%,13063,1,1,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35320,GEORGIA COMMUNITY BCORP INC,0001245581,0,0,0,0,0,35320,GEORGIA COMMUNITY BANK,250 E. LEE ST.,DAWSON,GA,39842,13273,2021,202112,1,"408,164","408,164",S,,52.20%,88.57%,132684,8,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35323,FINWISE BCORP,0003157549,0,0,0,0,0,35323,FINWISE BANK,756 E WINCHESTER ST,MURRAY,UT,84107,49035,2021,202112,1,"373,830","373,830",S,,69.24%,67.41%,202876,2,1,1,Multi Specialty Lender,NA,NA,NA,NA,NA,NA,20220310
35331,DMG BANCSHARES INC,0005553435,0,0,0,0,0,35331,CALIFORNIA FIRST NATIONAL BANK,4 EXECUTIVE CIRCLE SUITE 120,IRVINE,CA,92614,06059,2021,202112,1,"172,366","172,366",S,,35.53%,45.79%,97909,1,1,1,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35333,OAK FINANCIAL INC,0002857598,0,0,0,0,0,35333,OAK BANK,5951 MCKEE RD.,FITCHBURG,WI,53711,55025,2021,202112,1,"432,669","432,669",S,,64.64%,83.27%,354984,1,1,1,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35361,FIVE STAR BCORP,0003162927,0,0,0,0,0,35361,FIVE STAR BANK,2240 DOUGLAS BLVD,ROSEVILLE,CA,95661,06061,2021,202112,1,"2,557,072","2,557,072",L,,75.16%,89.62%,622960,7,1,1,Commercial Real Estate Lending Specialization,1,1,1,1,1,1,20220310
35365,OAK RIDGE FINL SERVICES INC,0003587427,0,0,0,0,0,35365,BANK OF OAK RIDGE,2211 OAK RIDGE RD.,OAK RIDGE,NC,27310,37081,2021,202112,1,"582,719","582,719",S,,73.09%,82.27%,148509,5,1,1,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35366,CHINO COMMERCIAL BCORP,0003441275,0,0,0,0,0,35366,"CHINO COMMERCIAL BANK, N.A.",14245 PIPELINE AVE.,CHINO,CA,91710,06071,2021,202112,1,"378,177","378,177",S,,45.18%,85.17%,153605,4,1,1,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35377,,,0,0,0,0,0,35377,ALPINE CAPITAL BANK,"680 5TH AVE, 7TH FL.",NEW YORK,NY,10019,36061,2021,202112,1,"327,506","327,506",S,,31.87%,80.28%,211626,1,1,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35388,,,0,0,0,1,0,35388,SEI PRIVATE TRUST COMPANY,1 FREEDOM VALLEY DR,OAKS,PA,19456,42091,2021,202112,0,"216,532","216,532",S,,0.00%,0.23%,500,1,1,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35393,UNITED BCORP INC,0003848566,0,0,0,0,0,35393,UNITED TRUST BANK,12330 S. HARLEM AVE.,PALOS HEIGHTS,IL,60463,17031,2021,202112,1,"76,559","76,559",S,,70.33%,72.59%,66176,1,1,1,Mortgage Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
